2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:54.052977 Step 19/27: loss = 3.068, loss_main = 3.067, loss_regu = 0.001
2022-09-30 09:17:54.227293 Step 20/27: loss = 3.123, loss_main = 3.122, loss_regu = 0.001
2022-09-30 09:17:54.408705 Step 21/27: loss = 3.037, loss_main = 3.036, loss_regu = 0.001
2022-09-30 09:17:54.572899 Step 22/27: loss = 3.070, loss_main = 3.069, loss_regu = 0.001
2022-09-30 09:17:54.747623 Step 23/27: loss = 3.110, loss_main = 3.109, loss_regu = 0.001
2022-09-30 09:17:54.928891 Step 24/27: loss = 3.049, loss_main = 3.048, loss_regu = 0.001
2022-09-30 09:17:55.127128 Step 25/27: loss = 3.056, loss_main = 3.055, loss_regu = 0.001
2022-09-30 09:17:55.340941 Step 26/27: loss = 3.090, loss_main = 3.089, loss_regu = 0.001
2022-09-30 09:17:55.440549 Step 27/27: loss = 3.095, loss_main = 3.094, loss_regu = 0.001
2022-09-30 09:17:55.472120 Train 7/100 {'loss': 3.1935284402635364, 'loss_main': 3.1924813058641224, 'precision': 0.11495726495726495}
2022-09-30 09:17:55.634189 Step 0/27: loss = 3.011, loss_main = 3.010, loss_regu = 0.001
2022-09-30 09:17:55.824312 Step 1/27: loss = 3.028, loss_main = 3.027, loss_regu = 0.001
2022-09-30 09:17:56.016576 Step 2/27: loss = 3.023, loss_main = 3.022, loss_regu = 0.001
2022-09-30 09:17:56.217143 Step 3/27: loss = 3.072, loss_main = 3.071, loss_regu = 0.001
